ad_id,campaign_id,date,platform,age_group,impressions,clicks,conversions,spend,revenue
26,CAMP_007,2026-06-26,TikTok,25-34,11551,924,89,26.41,2.36
27,CAMP_009,2026-06-09,TikTok,55-64,1330,87,11,15.05,10.12
28,CAMP_009,2026-06-02,LinkedIn,13-17,3711,243,14,42.53,8.36
29,CAMP_005,2026-06-04,TikTok,18-24,11780,322,29,132.08,6.81
30,CAMP_005,2026-06-05,LinkedIn,18-24,4220,292,36,41.81,16.1
31,CAMP_004,2026-06-09,Facebook,25-34,14928,1145,134,119.37,11.17
32,CAMP_007,2026-06-23,Facebook,55-64,17517,1358,43,207.5,101.53
33,CAMP_012,2026-06-04,Instagram,65+,14926,434,67,145.86,98.4
34,CAMP_007,2026-06-03,Facebook,65+,7361,458,70,60.09,35.37
35,CAMP_006,2026-06-15,LinkedIn,35-44,17149,980,82,74.92,40.66
36,CAMP_005,2026-06-21,Instagram,25-34,8620,266,45,20.55,7.13
37,CAMP_003,2026-06-17,Programmatic,65+,21304,1433,212,127.85,81.7
38,CAMP_008,2026-06-15,Instagram,13-17,9347,580,62,39.64,0.79
39,CAMP_007,2026-06-13,Google Ads,65+,2785,200,34,24.4,16.3
40,CAMP_005,2026-06-03,Google Ads,65+,2324,83,10,21.35,19.94
41,CAMP_011,2026-06-25,Google Ads,13-17,6399,177,18,32.56,9.12
42,CAMP_001,2026-06-25,TikTok,25-34,2449,69,10,23.86,14.7
43,CAMP_001,2026-06-16,TikTok,18-24,8782,733,82,47.21,11.63
44,CAMP_012,2026-06-07,Facebook,45-54,15730,417,24,170.03,131.81
45,CAMP_003,2026-06-10,Programmatic,65+,6850,314,19,61.58,37.82
46,CAMP_002,2026-06-12,Programmatic,45-54,65879,3620,644,236.85,205.3
47,CAMP_001,2026-06-17,Instagram,18-24,1411,115,13,12.78,5.54
48,CAMP_012,2026-06-12,Facebook,65+,3407,96,10,28.53,7.64
49,CAMP_012,2026-06-15,Programmatic,55-64,41357,2511,96,400.44,285.48
50,CAMP_012,2026-06-29,Programmatic,25-34,2773,223,32,22.79,7.26
51,CAMP_009,2026-06-27,Programmatic,25-34,7910,477,76,53.32,27.76
52,CAMP_012,2026-06-23,Google Ads,13-17,3428,229,11,9.44,3.91
53,CAMP_011,2026-06-02,Google Ads,35-44,13807,1077,153,158.89,2.49
54,CAMP_003,2026-06-24,LinkedIn,65+,10830,589,96,127.32,91.18
55,CAMP_011,2026-06-25,Facebook,35-44,3711,143,24,11.31,10.76
56,CAMP_004,2026-06-17,LinkedIn,18-24,4529,340,35,53.35,21.86
57,CAMP_012,2026-06-23,LinkedIn,25-34,27649,1313,143,110.12,88.87
58,CAMP_008,2026-06-27,TikTok,35-44,7305,535,77,50.36,40.78
59,CAMP_007,2026-06-25,Facebook,35-44,7280,281,44,49.44,39.22
60,CAMP_002,2026-06-13,Facebook,18-24,5762,481,52,25.69,15.02
61,CAMP_007,2026-06-21,Facebook,35-44,8834,293,13,45.37,9.5
62,CAMP_010,2026-06-09,Instagram,45-54,1443,85,14,13.31,0.21
63,CAMP_004,2026-06-20,Programmatic,13-17,4077,138,21,20.93,7.95
64,CAMP_002,2026-06-23,Programmatic,18-24,4888,408,42,4.13,0.38
65,CAMP_001,2026-06-02,Facebook,55-64,10589,747,66,59.31,44.95
66,CAMP_011,2026-06-06,Google Ads,55-64,8210,564,86,34.54,20.53
67,CAMP_001,2026-06-20,TikTok,13-17,14327,1084,132,20.64,4.36
68,CAMP_004,2026-06-07,Programmatic,55-64,1648,72,9,2.32,1.85
69,CAMP_004,2026-06-29,Google Ads,18-24,13907,984,150,64.22,48.48
70,CAMP_008,2026-06-13,Instagram,35-44,13123,585,25,56.56,18.46
71,CAMP_007,2026-06-13,Google Ads,18-24,6770,215,35,70.51,42.9
72,CAMP_010,2026-06-06,Programmatic,65+,2701,223,21,22.41,10.17
73,CAMP_012,2026-06-29,Instagram,35-44,11481,530,31,105.07,39.89
74,CAMP_012,2026-06-17,Google Ads,55-64,1102,90,5,2.37,0.29
75,CAMP_012,2026-06-27,TikTok,55-64,18271,1192,43,137.99,118.9
76,CAMP_002,2026-06-08,Google Ads,65+,11319,304,40,88.78,34.55
77,CAMP_009,2026-06-02,Google Ads,25-34,14586,604,47,22.33,12.24
78,CAMP_012,2026-06-10,Instagram,45-54,1831,85,2,11.21,5.08
79,CAMP_010,2026-06-26,Instagram,13-17,16668,1134,38,125.75,75.87
80,CAMP_001,2026-06-20,LinkedIn,25-34,34931,1581,79,268.19,61.29
81,CAMP_004,2026-06-07,Instagram,55-64,1404,107,13,2.96,2.44
82,CAMP_011,2026-06-13,TikTok,65+,1729,46,1,19.26,2.14
83,CAMP_010,2026-06-23,Instagram,25-34,7114,583,40,36.29,0.52
84,CAMP_002,2026-06-06,Programmatic,45-54,8902,513,50,43.65,27.5
85,CAMP_010,2026-06-10,LinkedIn,45-54,9121,707,103,77.71,10.58
86,CAMP_007,2026-06-19,Programmatic,18-24,562,28,3,5.62,2.88
87,CAMP_003,2026-06-17,TikTok,13-17,773,63,5,6.89,0.59
88,CAMP_004,2026-06-27,Facebook,13-17,28222,1130,187,31.6,3.05
89,CAMP_005,2026-06-02,Programmatic,18-24,1557,65,10,6.28,5.3
90,CAMP_009,2026-06-10,Facebook,25-34,22620,643,105,182.89,4.9
91,CAMP_009,2026-06-26,LinkedIn,13-17,1402,62,10,14.72,10.95
92,CAMP_004,2026-06-03,Facebook,25-34,14816,949,136,153.12,110.48
93,CAMP_001,2026-06-07,Programmatic,45-54,6498,450,50,26.23,2.99
94,CAMP_011,2026-06-22,LinkedIn,18-24,7201,377,37,78.05,63.05
95,CAMP_005,2026-06-03,LinkedIn,13-17,2880,109,10,19.64,8.26
96,CAMP_004,2026-06-23,TikTok,25-34,8078,618,58,53.86,47.43
97,CAMP_006,2026-06-13,Google Ads,55-64,2738,204,13,5.59,2.35
98,CAMP_007,2026-06-28,Programmatic,35-44,22092,748,48,30.79,0.04
99,CAMP_003,2026-06-22,TikTok,18-24,8823,722,84,105.76,98.39
100,CAMP_003,2026-06-08,Instagram,35-44,30181,1479,198,144.72,3.93
