ad_id,campaign_id,date,platform,age_group,impressions,clicks,conversions,spend,revenue
62,CAMP_010,2026-07-08,TikTok,65+,39919,1766,172,403.8,51.49
63,CAMP_001,2026-07-19,Facebook,13-17,7865,229,23,26.46,10.62
64,CAMP_001,2026-07-03,Facebook,18-24,4831,315,23,16.12,12.05
65,CAMP_009,2026-07-01,Instagram,25-34,60919,4471,662,503.18,173.72
66,CAMP_005,2026-07-16,TikTok,18-24,13530,410,52,55.52,2.17
67,CAMP_010,2026-07-29,Instagram,65+,28529,1201,210,61.27,26.63
68,CAMP_008,2026-07-01,Instagram,13-17,26482,1236,120,156.92,141.71
69,CAMP_002,2026-07-20,Facebook,13-17,2349,161,15,12.89,5.15
70,CAMP_002,2026-07-23,Google Ads,25-34,8991,374,56,68.63,17.35
71,CAMP_010,2026-07-19,LinkedIn,55-64,22962,1219,138,216.3,0.64
72,CAMP_002,2026-07-06,Instagram,18-24,6322,314,34,57.56,24.52
73,CAMP_008,2026-07-04,LinkedIn,18-24,18335,1473,131,80.4,60.75
74,CAMP_009,2026-07-10,Facebook,55-64,1672,89,3,10.61,9.21
75,CAMP_011,2026-07-12,Google Ads,13-17,7906,636,59,82.1,53.62
76,CAMP_010,2026-07-09,Instagram,18-24,3492,241,8,4.06,1.11
77,CAMP_012,2026-07-14,Instagram,65+,9151,454,81,94.69,2.29
78,CAMP_004,2026-07-29,Facebook,18-24,60255,2554,142,690.74,11.06
79,CAMP_010,2026-07-14,Google Ads,65+,18837,1224,190,15.73,2.17
80,CAMP_007,2026-07-14,LinkedIn,45-54,9982,829,122,68.05,17.45
81,CAMP_008,2026-07-17,Instagram,25-34,11186,395,44,120.62,95.02
82,CAMP_006,2026-07-29,Google Ads,25-34,7782,566,49,44.99,13.25
83,CAMP_012,2026-07-20,Instagram,65+,6180,403,45,26.37,19.75
84,CAMP_010,2026-07-08,Facebook,13-17,16634,1246,56,177.01,7.45
85,CAMP_005,2026-07-08,Facebook,45-54,584,43,6,3.62,3.18
86,CAMP_006,2026-07-29,Instagram,18-24,24557,1897,272,276.51,17.42
87,CAMP_012,2026-07-03,Instagram,18-24,41903,1180,76,40.57,21.97
88,CAMP_003,2026-07-26,Facebook,18-24,13062,466,41,12.14,4.68
89,CAMP_004,2026-07-17,Facebook,65+,34799,1925,73,143.47,34.1
90,CAMP_009,2026-07-09,TikTok,45-54,4984,378,27,22.42,12.86
91,CAMP_003,2026-07-05,LinkedIn,55-64,12571,955,65,121.87,12.86
92,CAMP_012,2026-07-17,Google Ads,35-44,14691,401,30,129.61,91.8
93,CAMP_012,2026-07-23,Programmatic,13-17,23180,1093,169,165.91,38.51
94,CAMP_010,2026-07-02,LinkedIn,13-17,1433,40,1,16.13,9.76
95,CAMP_006,2026-07-19,TikTok,35-44,24322,1871,244,260.36,7.38
96,CAMP_007,2026-07-21,Programmatic,25-34,6431,500,23,53.69,37.46
97,CAMP_002,2026-07-16,Programmatic,45-54,13995,843,38,114.66,11.41
98,CAMP_001,2026-07-09,Google Ads,18-24,26891,1921,186,95.6,44.15
99,CAMP_001,2026-07-06,Programmatic,25-34,28224,868,146,215.96,117.75
100,CAMP_002,2026-07-14,Programmatic,45-54,15766,1143,78,18.17,7.07
